'match_id','hero_id','account_id','net_worth','kills','deaths','hero_damage','gold_per_min','assists','xp_per_min','kills','last_hits','tower_damage','obs_placed','roshans_killed'
6879583715,76,254961904.0,4573,0,1,727,482,4,422,0,43,3154,,
6879583715,45,48301797.0,4774,2,1,1989,515,3,362,2,41,1681,,
6879583715,114,138215673.0,4272,3,1,660,441,2,285,3,30,2526,,
6879583715,135,193570192.0,4040,1,1,1349,419,3,288,1,33,0,,
6879583715,90,270624040.0,2990,0,3,424,319,5,225,0,16,0,,
6879583715,74,139109568.0,2533,3,2,2281,254,3,150,3,11,63,,
6879583715,82,,3431,2,1,782,339,3,315,2,41,0,,
6879583715,29,359368465.0,2416,1,1,380,230,3,108,1,12,0,,
6879583715,96,,3151,0,1,1046,316,5,254,0,36,6,,
6879583715,73,147932744.0,4157,1,2,819,444,3,280,1,40,1312,,
6879581511,126,,2005,0,1,2128,273,0,271,0,25,0,,
6879581511,95,,2380,0,2,3859,275,0,389,0,29,0,,
6879581511,87,132619186.0,805,0,2,1168,116,0,44,0,0,0,,
6879581511,73,,3045,1,2,2168,378,2,196,1,3,0,,
6879581511,75,49238614.0,2205,2,2,3386,369,1,302,2,23,0,,
6879581511,49,296343452.0,3384,1,0,3245,367,1,522,1,40,588,,
6879581511,4,68765669.0,4078,3,0,2344,443,0,429,3,49,262,,
6879581511,120,105887213.0,3198,4,1,3303,353,0,382,4,30,0,,
6879581511,5,,1291,1,0,2161,145,2,167,1,1,0,,
6879581511,33,223583475.0,1659,0,3,3551,167,4,173,0,14,0,,
6879577213,11,314598810.0,4970,2,0,4002,402,2,492,2,65,332,,
6879577213,72,241344129.0,4352,0,0,2852,329,1,346,0,66,18,,
6879577213,26,382186415.0,2407,1,2,3805,184,4,284,1,3,175,,
6879577213,30,119193335.0,3571,7,1,4344,302,1,386,7,5,147,,
6879577213,135,178136045.0,5544,2,1,3709,415,7,365,2,63,586,,
6879577213,105,353754987.0,6223,1,2,1898,524,1,328,1,33,138,,
6879577213,104,278915844.0,1741,1,2,4032,336,3,290,1,36,0,,
6879577213,123,,3006,2,3,2337,341,0,397,2,47,0,,
6879577213,21,836033435.0,1576,0,3,999,125,1,125,0,4,0,,
6879577213,6,851361944.0,3836,0,3,1286,295,1,295,0,52,0,,
6879576117,128,,3946,3,5,7042,304,1,382,3,43,35,,
